jid,lid
10596,280
13669,343
24412,404
9439,367
12546,14
12150,14
17799,88
14598,25
14207,369
26898,118
16879,88
5456,268
28942,268
3214,133
19606,268
22567,90
22283,331
35948,286
11204,321
10896,168
8277,83
21066,367
3263,25
31124,325
5940,88
21597,3
19112,110
1486,404
8143,268
5259,104
13041,343
32105,197
28125,396
24226,25
31901,367
22181,404
14366,25
35408,133
9979,65
33465,65
33069,65
11971,25
3031,25
455,14
32881,14
3867,297
1291,286
11114,404
26315,268
16979,268
28992,331
34923,91
20771,18
6046,83
18346,176
22580,271
21942,14
9371,367
13103,66
27447,309
36096,133
28606,268
3523,83
7372,367
26613,83
29001,43
10083,14
33173,14
35225,25
9366,373
33177,133
22833,343
19820,331
31583,219
10136,25
33226,25
24286,25
26963,88
26567,88
14368,47
15540,268
5680,268
35864,133
7268,367
20547,286
12828,369
3929,370
18070,254
33337,14
3681,268
35711,268
1439,133
29448,331
15442,83
7131,254
964,25
568,25
7430,321
32994,25
35671,88
8933,90
17589,331
8649,331
36009,83
7036,367
1246,88
24732,88
36003,268
15268,88
18762,373
29500,90
28395,367
10592,25
10196,25
242,390
15550,151
27613,331
27217,331
17105,110
36697,83
13364,325
15552,197
6457,286
1806,88
30763,25
19247,14
24104,88
24752,309
2144,83
34174,83
5201,367
8308,14
13951,243
19300,25
10360,25
9964,25
24704,268
24308,268
26209,110
27381,331
16240,197
34662,22
26164,367
29808,219
28404,429
19068,429
7965,25
29271,14
31451,25
33732,88
30927,25
33208,88
15806,90
29674,404
15522,331
4969,367
19988,25
17412,14
25631,254
8076,14
34184,370
4867,90
3999,280
986,268
24472,268
30162,343
4090,398
29766,343
24948,197
6426,168
15853,286
25536,367
28831,65
5116,13
29039,14
22077,268
20231,133
20134,200
23215,124
3229,254
26644,14
17704,14
27667,112
10573,267
11010,268
25927,373
33704,268
17711,404
2606,248
9700,113
12033,366
31711,83
3134,367
15181,14
11098,88
1865,213
29331,14
8293,25
24270,110
22241,268
36621,168
4255,219
36335,336
22047,402
12174,197
12325,366
12366,367
33868,268
15043,430
35852,367
14082,429
1868,110
17530,369
33898,110
123,27
28223,343
26233,429
6062,25
5666,25
19573,267
4413,404
11070,268
12971,110
8681,83
35849,419
31771,83
25017,286
16077,286
21035,412
16660,112
16701,113
4901,343
671,367
24157,367
27889,66
15294,25
6354,25
26472,14
20698,268
20302,268
22599,110
3001,322
34990,321
2316,219
13455,280
1738,13
25614,168
25218,168
22293,3
25278,219
23478,429
11264,110
18027,370
15009,14
17342,267
8839,268
9711,197
3737,363
23527,321
1359,367
963,367
247,197
12250,326
32993,367
33389,367
36496,14
835,367
1494,3
13846,286
2858,394
35972,14
29406,268
20466,268
13413,404
20070,268
34510,219
12590,367
7048,190
10162,254
36158,369
4907,107
34757,96
20748,331
2346,404
8607,268
9003,268
15701,133
14047,168
14107,219
33157,367
16192,370
36264,14
6608,268
30094,268
23041,404
345,331
31847,212
18765,83
11524,168
27231,200
21694,367
33929,65
36718,369
33304,13
7740,309
18235,268
21935,429
22406,14
24854,25
24458,25
15518,25
29466,268
31763,110
32539,331
36560,133
11339,14
16196,88
34429,14
33697,65
27467,268
34473,286
6732,88
35689,25
21076,331
31167,429
19859,367
34086,25
28599,309
16400,268
13731,66
9741,331
24622,25
28075,309
7600,248
6540,268
13634,133
32643,280
19704,429
27637,83
31749,3
20634,336
30694,367
13729,370
4393,370
15964,88
7502,90
19854,373
36134,267
29091,367
19755,367
517,168
32258,65
18197,110
34250,25
24518,25
15772,268
16644,197
4839,83
22915,25
8823,3
21175,286
22831,297
4705,268
22542,194
28084,371
27399,268
663,343
33089,343
35553,113
19331,197
5327,22
9064,65
18403,336
2954,370
11056,25
34146,25
36823,88
4987,331
8287,373
28077,331
31585,322
14467,83
17524,367
11894,343
32019,25
22287,25
11167,14
14333,268
13937,268
10786,322
8199,152
33914,25
